Course Name,Award,A Levels,UCAS Code,Duration,Start Month,Accreditation,Home Students Fees,Overseas Students Fees
Biomedical Science with an Industrial Placement Year,BSc,AAB,B902,4 years,September start,Not found,"£9,250","£26,950"
Biomedical Science with an Industrial Placement Year,MBiomedSci,AAA,B911,5 years,September start,Not found,"£9,250","£26,950"
Biosciences (with Foundation Year),BSc,BBC,C900,4 years,September start,Not found,"£9,250","£26,950"
Business Management,BA,AAB,N200,3 years,September start,Accredited,"£9,250","£21,000"
Business Management and Economics,BA,AAB,NL21,3 years,September start,Accredited,"£9,250","£21,000"
Business Management and Japanese Studies,BA,ABB,NT22,4 years,September start,Accredited,"£9,250","£21,000"
Business Management and Modern Languages & Cultures,BA,ABB,RN50,4 years,September start,Not found,"£9,250","£21,000"
Chemical Engineering,MEng,AAA,H800,4 years,September start,Accredited,"£9,250","£26,950"
Chemical Engineering,BEng,AAA,H810,3 years,September start,Accredited,"£9,250","£26,950"
Chemical Engineering with a Foundation Year,BEng | MEng,BBB; BBC,H801,5 years,September start,Accredited,"£9,250","£26,950"
Chemical Engineering with a Year in Australasia,MEng,AAA,H860,,September start,Not found,"£9,250","£26,950"
Chemical Engineering with an Industrial Placement Year,MEng,AAA,H804,5 years,September start,Accredited,"£9,250","£26,950"
Chemical Engineering with an Industrial Placement Year,BEng,AAA,H811,4 years,September start,Accredited,"£9,250","£26,950"
Chemistry,BSc,AAB,F100,3 years,September start,Accredited,"£9,250","£26,950"
Chemistry,MChem,AAB,F105,4 years,September start,Accredited,"£9,250","£26,950"
Chemistry with a Foundation Year,BSc | MChem,BBC,F102,5 years,September start,Accredited,"£9,250","£26,950"
Chemistry with an Industrial Placement Year,MChem,AAB,F106,4 years,September start,Accredited,"£9,250","£26,950"
Chemistry with an Industrial Placement Year,BSc,AAB,F111,4 years,September start,Accredited,"£9,250","£26,950"
Chemistry with Biological and Medicinal Chemistry,MChem,AAB,C720,4 years,September start,Accredited,"£9,250","£26,950"
Chemistry with Biological and Medicinal Chemistry,BSc,AAB,F112,3 years,September start,Accredited,"£9,250","£26,950"
Chinese Studies,BA,ABB,T110,4 years,September start,Not found,"£9,250","£21,000"
Chinese Studies and Business Management,BA,ABB,TN12,4 years,September start,Not found,"£9,250","£23,650"
Chinese Studies and History,BA,ABB,TV11,4 years,September start,Not found,"£9,250","£21,000"
Chinese Studies with Japanese,BA,ABB,T1T2,4 years,September start,Not found,"£9,250","£21,000"
Civil and Structural Engineering,MEng,AAA,H210,4 years,September start,Accredited,"£9,250","£26,950"
Civil and Structural Engineering with a Foundation Year,BEng | MEng,BBB; BBC,H201,5 years,September start,Not found,"£9,250","£26,950"
Civil and Structural Engineering with an Industrial Placement Year,MEng,AAA,8L55,5 years,September start,Accredited,"£9,250","£26,950"
Civil Engineering,BEng,AAA,H202,3 years,September start,Accredited,"£9,250","£26,950"
Civil Engineering,MEng,AAA,H200,4 years,September start,Accredited,"£9,250","£26,950"
Civil Engineering with an Industrial Placement Year,MEng,AAA,2H26,5 years,September start,Accredited,"£9,250","£26,950"
Civil Engineering with an Industrial Placement Year,BEng,AAA,8T63,4 years,September start,Accredited,"£9,250","£26,950"
Computer Science,BSc,AAA; AAB,G402,3 years,September start,Accredited,"£9,250","£26,950"
Computer Science,MComp,AAA; AAB,G400,4 years,September start,Accredited,"£9,250","£26,950"
